Designator,Mid X,Mid Y,Rotation,Layer
R37,126.71,-49.1,90.0,bottom
R39,125.49,-49.09,90.0,bottom
R40,123.06,-49.06,90.0,bottom
R44,120.67,-49.08,90.0,bottom
R6,131.13,-107.25,0.0,bottom
R60,150.54,-108.6,90.0,bottom
R7,132.99,-108.0,270.0,bottom
R70,121.08,-71.11,90.0,bottom
R71,105.09,-95.85,0.0,bottom
R8,127.36,-116.2,180.0,bottom
RA1_1,111.44,-77.01,0.0,bottom
RA1_2,111.44,-76.07,0.0,bottom
RA1_3,111.44,-75.13,0.0,bottom
RA1_4,111.44,-74.19,0.0,bottom
RA20_1,107.18,-88.01,180.0,bottom
RA20_2,107.18,-87.02,180.0,bottom
RA20_3,107.18,-86.08,180.0,bottom
RA20_4,107.18,-85.12,180.0,bottom
RA9_1,162.96,-80.14,0.0,bottom
RA9_2,162.96,-81.09,0.0,bottom
RA9_3,162.95,-83.07,0.0,bottom
RA9_4,162.96,-82.08,0.0,bottom
RAM1,128.42,-108.94,0.0,top
U1,124.035,-57.82,270.0,bottom
U10,107.29,-63.29,90.0,bottom
U2,142.84,-109.04,0.0,top
U5,126.235,-87.415,180.0,bottom
USB_2,149.22,-57.790001,180.0,top
USB,140.92,-57.790001,180.0,top
Y1,143.53,-109.42,90.0,bottom
